{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38260.28', '0.00000000']], 'time': '2021-05-20T03:56:14.921638Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38396.63', '0.00000000']], 'time': '2021-05-20T03:56:14.955872Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.19', '0.07460000']], 'time': '2021-05-20T03:56:14.956704Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38359.05', '0.05000000']], 'time': '2021-05-20T03:56:14.956872Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39126.23', '0.06409902']], 'time': '2021-05-20T03:56:14.956953Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38350.54', '0.00000000']], 'time': '2021-05-20T03:56:14.961431Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38346.54', '0.10525458']], 'time': '2021-05-20T03:56:14.961498Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '37931.24', '0.00000000']], 'time': '2021-05-20T03:56:14.961566Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.19', '0.00000000']], 'time': '2021-05-20T03:56:14.962496Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.12', '0.01492000']], 'time': '2021-05-20T03:56:14.963237Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38399.10', '0.06600000']], 'time': '2021-05-20T03:56:14.963503Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.31', '0.02251804']], 'time': '2021-05-20T03:56:14.963840Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38362.53', '0.45880000']], 'time': '2021-05-20T03:56:14.963890Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38660.39', '0.01992060']], 'time': '2021-05-20T03:56:14.963915Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.44', '2.48969908']], 'time': '2021-05-20T03:56:14.963945Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.40', '0.55376629']], 'time': '2021-05-20T03:56:14.964007Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38317.46', '0.00000000']], 'time': '2021-05-20T03:56:14.964880Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38359.05', '0.00000000']], 'time': '2021-05-20T03:56:14.965824Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38295.49', '0.00000000']], 'time': '2021-05-20T03:56:14.966104Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38362.53', '0.00000000']], 'time': '2021-05-20T03:56:14.969533Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.13', '0.01492000']], 'time': '2021-05-20T03:56:14.970948Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38394.30', '0.03234674']], 'time': '2021-05-20T03:56:14.970989Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.12', '0.00000000']], 'time': '2021-05-20T03:56:14.971275Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38306.32', '0.00000000']], 'time': '2021-05-20T03:56:14.975804Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38305.51', '0.00000000']], 'time': '2021-05-20T03:56:14.975804Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38304.15', '0.00000000']], 'time': '2021-05-20T03:56:14.975804Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38311.86', '0.59116555']], 'time': '2021-05-20T03:56:14.976001Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38227.22', '0.03956259']], 'time': '2021-05-20T03:56:14.976056Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38338.81', '0.07460000']], 'time': '2021-05-20T03:56:14.976218Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.39', '0.03823166']], 'time': '2021-05-20T03:56:14.981803Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38436.71', '0.41313943']], 'time': '2021-05-20T03:56:14.982049Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38369.99', '0.33792367']], 'time': '2021-05-20T03:56:14.982049Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38346.54', '0.15525458']], 'time': '2021-05-20T03:56:14.982266Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.13', '0.00000000']], 'time': '2021-05-20T03:56:14.986556Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38423.11', '0.00000000']], 'time': '2021-05-20T03:56:14.992752Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38401.69', '0.00000000']], 'time': '2021-05-20T03:56:14.995674Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38241.81', '0.00000000']], 'time': '2021-05-20T03:56:14.997237Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38315.11', '0.01363843']], 'time': '2021-05-20T03:56:14.997552Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.39', '0.00000000']], 'time': '2021-05-20T03:56:14.997711Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.54', '0.01492000']], 'time': '2021-05-20T03:56:14.997746Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38301.49', '0.02400000']], 'time': '2021-05-20T03:56:14.998077Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.68', '0.02400000']], 'time': '2021-05-20T03:56:14.998077Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38299.87', '0.02400000']], 'time': '2021-05-20T03:56:14.998077Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38369.99', '0.50746294']], 'time': '2021-05-20T03:56:15.002041Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38399.05', '0.03337070']], 'time': '2021-05-20T03:56:15.003016Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38388.60', '0.03810065']], 'time': '2021-05-20T03:56:15.003016Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.31', '0.00000000']], 'time': '2021-05-20T03:56:15.005099Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38338.34', '0.01492000']], 'time': '2021-05-20T03:56:15.006533Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38224.93', '0.01000000']], 'time': '2021-05-20T03:56:15.007581Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38407.53', '0.01301828']], 'time': '2021-05-20T03:56:15.007679Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38387.79', '0.00000000']], 'time': '2021-05-20T03:56:15.007749Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38384.14', '0.00000000']], 'time': '2021-05-20T03:56:15.007749Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38442.70', '0.00000000']], 'time': '2021-05-20T03:56:15.011757Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38323.08', '0.02251804']], 'time': '2021-05-20T03:56:15.012264Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38331.46', '0.00176479']], 'time': '2021-05-20T03:56:15.012294Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38338.81', '0.00000000']], 'time': '2021-05-20T03:56:15.014527Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38383.26', '0.00000000']], 'time': '2021-05-20T03:56:15.018611Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38378.70', '0.00000000']], 'time': '2021-05-20T03:56:15.018611Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.54', '0.00000000']], 'time': '2021-05-20T03:56:15.020311Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38338.34', '0.00000000']], 'time': '2021-05-20T03:56:15.021224Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.40', '0.54076173']], 'time': '2021-05-20T03:56:15.022009Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '37535.54', '0.00000000']], 'time': '2021-05-20T03:56:15.026064Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38368.26', '0.00000000']], 'time': '2021-05-20T03:56:15.027507Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38323.08', '0.00000000']], 'time': '2021-05-20T03:56:15.027668Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38370.22', '0.00000000']], 'time': '2021-05-20T03:56:15.027737Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38464.44', '0.00000000']], 'time': '2021-05-20T03:56:15.031440Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38331.47', '0.01680419']], 'time': '2021-05-20T03:56:15.034379Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38323.56', '0.01492000']], 'time': '2021-05-20T03:56:15.035634Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.36', '0.05208196']], 'time': '2021-05-20T03:56:15.036858Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38331.47', '0.00000000']], 'time': '2021-05-20T03:56:15.041005Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38323.56', '0.00000000']], 'time': '2021-05-20T03:56:15.042232Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.36', '0.00000000']], 'time': '2021-05-20T03:56:15.045452Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.63', '0.46040000']], 'time': '2021-05-20T03:56:15.046265Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.36', '0.02251804']], 'time': '2021-05-20T03:56:15.051225Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38331.47', '0.02890000']], 'time': '2021-05-20T03:56:15.051665Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.39', '0.03823166']], 'time': '2021-05-20T03:56:15.055676Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38439.45', '0.01000000']], 'time': '2021-05-20T03:56:15.056986Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.36', '0.00000000']], 'time': '2021-05-20T03:56:15.057328Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38363.97', '0.14577935']], 'time': '2021-05-20T03:56:15.065631Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38362.52', '0.41200000']], 'time': '2021-05-20T03:56:15.065979Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38323.85', '0.07172821']], 'time': '2021-05-20T03:56:15.066205Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38399.05', '0.00000000']], 'time': '2021-05-20T03:56:15.067726Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38394.30', '0.00000000']], 'time': '2021-05-20T03:56:15.067726Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38388.60', '0.00000000']], 'time': '2021-05-20T03:56:15.067726Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38424.85', '0.61482417']], 'time': '2021-05-20T03:56:15.069733Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.72', '0.01492000']], 'time': '2021-05-20T03:56:15.069773Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.37', '0.05208196']], 'time': '2021-05-20T03:56:15.070122Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38412.91', '0.00000000']], 'time': '2021-05-20T03:56:15.071614Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38402.76', '0.00000000']], 'time': '2021-05-20T03:56:15.071614Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38393.07', '0.00000000']], 'time': '2021-05-20T03:56:15.071614Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38377.41', '0.14944696']], 'time': '2021-05-20T03:56:15.071614Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38375.97', '0.00000000']], 'time': '2021-05-20T03:56:15.071614Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.37', '0.05849421']], 'time': '2021-05-20T03:56:15.076516Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38148.17', '0.01000000']], 'time': '2021-05-20T03:56:15.076545Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '37524.58', '0.06476100']], 'time': '2021-05-20T03:56:15.076600Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38311.91', '0.84700000']], 'time': '2021-05-20T03:56:15.076674Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38377.41', '0.00000000']], 'time': '2021-05-20T03:56:15.077950Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38310.15', '0.00000000']], 'time': '2021-05-20T03:56:15.080831Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39114.47', '0.00505876']], 'time': '2021-05-20T03:56:15.081421Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.37', '0.05208196']], 'time': '2021-05-20T03:56:15.081669Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.37', '0.00000000']], 'time': '2021-05-20T03:56:15.082137Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39126.23', '0.00000000']], 'time': '2021-05-20T03:56:15.082376Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38354.82', '0.05000000']], 'time': '2021-05-20T03:56:15.083010Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.39', '0.00000000']], 'time': '2021-05-20T03:56:15.083256Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38311.86', '0.00000000']], 'time': '2021-05-20T03:56:15.086333Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.37', '0.01610579']], 'time': '2021-05-20T03:56:15.087814Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38376.49', '0.00000000']], 'time': '2021-05-20T03:56:15.089632Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.37', '0.00000000']], 'time': '2021-05-20T03:56:15.091959Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38455.17', '0.00000000']], 'time': '2021-05-20T03:56:15.098691Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.72', '0.00000000']], 'time': '2021-05-20T03:56:15.099803Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38439.35', '0.00000000']], 'time': '2021-05-20T03:56:15.101434Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38436.71', '0.00000000']], 'time': '2021-05-20T03:56:15.101434Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38430.33', '0.00000000']], 'time': '2021-05-20T03:56:15.101434Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38424.43', '0.00000000']], 'time': '2021-05-20T03:56:15.101434Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38418.72', '0.00000000']], 'time': '2021-05-20T03:56:15.101434Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38360.03', '0.00000000']], 'time': '2021-05-20T03:56:15.102972Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38472.52', '0.00000000']], 'time': '2021-05-20T03:56:15.105689Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38311.92', '0.59116555']], 'time': '2021-05-20T03:56:15.105752Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38584.36', '0.00000000']], 'time': '2021-05-20T03:56:15.107346Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38148.17', '0.00000000']], 'time': '2021-05-20T03:56:15.113284Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38263.33', '0.12252924']], 'time': '2021-05-20T03:56:15.114864Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38443.55', '0.03052289']], 'time': '2021-05-20T03:56:15.120263Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.64', '0.03823166']], 'time': '2021-05-20T03:56:15.124594Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38516.81', '0.01000000']], 'time': '2021-05-20T03:56:15.124617Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38560.37', '0.00648334']], 'time': '2021-05-20T03:56:15.130679Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39134.38', '0.00000000']], 'time': '2021-05-20T03:56:15.132087Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38331.46', '0.15176479']], 'time': '2021-05-20T03:56:15.137442Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38165.30', '0.01000000']], 'time': '2021-05-20T03:56:15.145060Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38560.37', '0.00000000']], 'time': '2021-05-20T03:56:15.150423Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38368.30', '0.09669133']], 'time': '2021-05-20T03:56:15.152148Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38481.15', '0.00000000']], 'time': '2021-05-20T03:56:15.152328Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '37524.58', '0.00000000']], 'time': '2021-05-20T03:56:15.159146Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38545.97', '0.00648576']], 'time': '2021-05-20T03:56:15.163595Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38374.24', '0.03000000']], 'time': '2021-05-20T03:56:15.164022Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38162.24', '0.00000000']], 'time': '2021-05-20T03:56:15.165962Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39114.47', '0.00330000']], 'time': '2021-05-20T03:56:15.166926Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38374.24', '0.00000000']], 'time': '2021-05-20T03:56:15.168798Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38474.83', '0.00000000']], 'time': '2021-05-20T03:56:15.170408Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38307.61', '0.00000000']], 'time': '2021-05-20T03:56:15.171950Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38468.76', '0.01134432']], 'time': '2021-05-20T03:56:15.172467Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39126.23', '0.06624977']], 'time': '2021-05-20T03:56:15.172667Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38545.97', '0.00000000']], 'time': '2021-05-20T03:56:15.173366Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38331.46', '0.16539424']], 'time': '2021-05-20T03:56:15.175625Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.63', '0.00000000']], 'time': '2021-05-20T03:56:15.178596Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38129.11', '0.95109760']], 'time': '2021-05-20T03:56:15.179644Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38462.67', '0.01000000']], 'time': '2021-05-20T03:56:15.179851Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38304.83', '0.00000000']], 'time': '2021-05-20T03:56:15.180597Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38304.56', '0.00000000']], 'time': '2021-05-20T03:56:15.186826Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38303.32', '0.00000000']], 'time': '2021-05-20T03:56:15.190260Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.51', '0.00000000']], 'time': '2021-05-20T03:56:15.193909Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38285.80', '0.47160000']], 'time': '2021-05-20T03:56:15.194971Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38374.23', '0.00000000']], 'time': '2021-05-20T03:56:15.197448Z'}
